Sample_ID,short_ENA_accession,short_Genbank_accession,Year of Isolation,Month of Isolation,ST_Shortened,Collection,Source,Location,Province,ProvinceLocation,Province_Capital_Latitude,Province_Capital_Longitutde,Hospital,MIC_ESBL,ESBL,MIC_Ampicillin,Ampicillin,MIC_Amoxicillin/Clavulanic Acid,Amoxicillin/Clavulanic Acid,MIC_Piperacillin/Tazobactam,Piperacillin/Tazobactam,MIC_Cefalotin,Cefalotin,MIC_Cefoxitin,Cefoxitin,MIC_Ceftazidime,Ceftazidime,MIC_Ceftriaxone,Ceftriaxone,MIC_Cefepime,Cefepime,MIC_Imipenem,Imipenem,MIC_Meropenem,Meropenem,MIC_Amikacin,Amikacin,MIC_Gentamicin,Gentamicin,MIC_Ciprofloxacin,Ciprofloxacin,MIC_Tigecycline,Tigecycline,MIC_Nitrofurantoin,Nitrofurantoin,MIC_Trimethoprim/ Sulfamethoxazole,Trimethoprim/ Sulfamethoxazole
N285,ERR12178199,SAMN38154089,2022,5,ST147,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,8,I,>= 4,R,2,S,256,R,<= 20,S
N242,ERR12178211,SAMN38154087,2022,6,ST147,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,4,*I,>= 4,R,2,S,256,R,>= 320,R
N1119,ERR12178265,SAMN38154083,2022,12,ST147,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,8,*R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,>= 512,R,<= 20,S
N1104,ERR12178202,SAMN38154082,2022,12,ST147,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,256,R,<= 20,S
N1101,ERR12055271,SAMN37449880,2022,12,ST147,MOH,BC,Najran,Najran,SouthWest,17.56927051,44.22684712,NHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,>= 8,R,256,R,40,S
J87,ERR12178241,SAMN38154039,2022,4,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,>= 8,R,>= 512,R,<= 20,S
J712,ERR12205218,SAMN38154029,2022,8,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,>= 512,R,>= 320,R
J666,ERR12178188,SAMN38154025,2022,7,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,>= 16,R,>= 4,R,4,I,256,R,>= 320,R
J654,ERR12178145,SAMN38154024,2022,8,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JRA,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,32,I,<= 1,S,>= 4,R,4,I,256,R,>= 320,R
J62,ERR12178124,SAMN38154022,2022,4,ST147,MOH,BC,Jeddah,Makkah,SouthWest,21.40580343,39.86801201,JHB,NEG,NA,>= 32,R,>= 32,R,>= 128,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 64,R,>= 16,R,>= 16,R,>= 64,R,4,*I,>= 4,R,>= 8,R,256,R,>= 320,R
